op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
peak,fma_fp32,,0,40,19866286.150,3955.9170,0.0000,2832.4,2818.0,2845.0,122.69,
peak,fma_fp32,,0,80,19930313.800,7878.8577,0.0000,2858.9,2850.0,2866.0,106.21,
peak,fma_fp32,,0,160,20059627.500,15620.1227,0.0000,2875.1,2870.0,2880.0,108.09,
peak,fma_fp32,,0,320,20144404.600,22815.7420,0.0000,2884.6,2881.0,2887.0,119.61,
peak,fma_fp32,,0,640,20033545.950,20112.6868,0.0000,2890.6,2889.0,2892.0,131.08,
peak,fma_fp32,,0,1280,20045500.650,19398.6946,0.0000,2894.3,2893.0,2895.0,138.61,
peak,fma_pk_fp16,,0,40,19910494.150,6406.5446,0.0000,2896.5,2896.0,2897.0,125.99,
peak,fma_pk_fp16,,0,80,11207620.600,12768.7401,0.0000,2895.6,2895.0,2896.0,113.68,
peak,fma_pk_fp16,,0,160,20067400.300,25221.2063,0.0000,2897.0,2896.0,2898.0,116.38,
peak,fma_pk_fp16,,0,320,20051898.850,24658.7798,0.0000,2898.0,2898.0,2899.0,122.48,
peak,fma_pk_fp16,,0,640,20059811.850,23856.4385,0.0000,2899.0,2899.0,2899.0,127.56,
peak,fma_pk_fp16,,0,1280,20081963.950,23514.8107,0.0000,2899.0,2899.0,2899.0,131.73,
peak,dot4_int8,,0,40,19836048.700,12815.2366,0.0000,2899.6,2899.0,2900.0,119.03,
peak,dot4_int8,,0,80,20027023.550,25544.8896,0.0000,2900.0,2900.0,2900.0,105.94,
peak,dot4_int8,,0,160,20092918.750,50122.4734,0.0000,2896.3,2895.0,2897.0,108.43,
peak,dot4_int8,,0,320,20042729.400,54006.3430,0.0000,2897.7,2897.0,2898.0,117.75,
peak,dot4_int8,,0,640,20077876.200,52388.1263,0.0000,2898.6,2898.0,2899.0,124.85,
peak,dot4_int8,,0,1280,20078371.150,51683.3755,0.0000,2899.0,2899.0,2899.0,129.92,
peak,wmma_fp16,,0,40,19945646.950,27868.9659,0.0000,2899.1,2899.0,2900.0,119.19,
peak,wmma_fp16,,0,80,20063595.050,55502.2468,0.0000,2897.9,2897.0,2898.0,109.69,
peak,wmma_fp16,,0,160,20025532.750,55483.7724,0.0000,2898.6,2898.0,2899.0,107.66,
peak,wmma_fp16,,0,320,20010967.050,55453.4182,0.0000,2899.0,2899.0,2899.0,106.65,
peak,wmma_fp16,,0,640,19994339.450,55497.9608,0.0000,2899.0,2899.0,2899.0,111.07,
peak,wmma_fp16,,0,1280,20199090.500,54904.2503,0.0000,2890.6,2884.0,2896.0,120.02,
peak,wmma_int8,,0,40,19952047.100,27922.8949,0.0000,2889.6,2887.0,2892.0,113.77,
peak,wmma_int8,,0,80,20001587.250,55622.2803,0.0000,2893.7,2892.0,2895.0,103.92,
peak,wmma_int8,,0,160,19953948.700,55648.3982,0.0000,2896.2,2895.0,2897.0,101.75,
peak,wmma_int8,,0,320,20006368.300,55620.2565,0.0000,2897.6,2897.0,2898.0,100.72,
peak,wmma_int8,,0,640,19966708.950,55561.1062,0.0000,2898.5,2898.0,2899.0,99.63,
peak,wmma_int8,,0,1280,20004703.150,55597.1055,0.0000,2899.0,2899.0,2899.0,100.82,
overhead,empty_dispatch,,0,1,358.650,0.0000,0.0000,2899.0,2899.0,2899.0,101.64,
overhead,empty_dispatch,,0,40,288.500,0.0000,0.0000,2899.0,2899.0,2899.0,102.60,
overhead,empty_dispatch,,0,640,693.300,0.0000,0.0000,2899.0,2899.0,2899.0,103.51,
overhead,empty_dispatch,,0,4096,3071.800,0.0000,0.0000,2899.0,2899.0,2899.0,104.33,
overhead,empty_dispatch,,0,65536,45506.450,0.0000,0.0000,2899.0,2899.0,2899.0,105.19,
bandwidth,copy,,0,262144,3111.900,0.0000,673.9137,2890.0,2890.0,2890.0,105.31,
bandwidth,copy,,0,524288,5680.750,0.0000,738.3363,2868.0,2868.0,2868.0,105.04,
bandwidth,copy,,0,1048576,9610.250,0.0000,872.8814,2827.0,2827.0,2827.0,104.43,
bandwidth,copy,,0,2097152,21039.950,0.0000,797.3981,2814.0,2814.0,2814.0,123.06,
bandwidth,copy,,0,3145728,31341.500,0.0000,802.9553,2813.0,2813.0,2813.0,132.81,
